Logic ID,Rule ID,Logic Number,P1,Col,Operand,Val,P2,And Or
2613-7,2613,7,NULL,Issue ID,=,0,NULL,Or
2613-8,2613,8,NULL,Issue ID,IS NULL,NULL,),NULL
2612-1,2612,1,NULL,Customer,=,GM,NULL,And
2612-2,2612,2,NULL,Datalink,=,FuelInjectorDMAX,NULL,And
2612-3,2612,3,NULL,Model Year,>=,2024,NULL,And
2612-4,2612,4,NULL,Model Year,>=,2024,NULL,And
2612-5,2612,5,NULL,Vehicle Build Date,>=,1/1/2021,NULL,And
2612-6,2612,6,NULL,Vehicle Build Date,<=,1/1/2025,NULL,And
2612-7,2612,7,(,Issue ID,=,0,NULL,Or
2612-8,2612,8,NULL,Issue ID,IS NULL,NULL,),And
2612-9,2612,9,NULL,Claim Category,LIKE,*TL*,NULL,NULL
2611-1,2611,1,NULL,Customer,=,GM,NULL,And
2611-2,2611,2,NULL,Model Year,=,2024,NULL,And
2611-3,2611,3,NULL,Model Year,=,2024,NULL,And
2611-4,2611,4,NULL,Vehicle Build Date,>=,1/1/2022,NULL,And
2611-5,2611,5,NULL,Vehicle Build Date,<=,1/1/2025,NULL,And
2611-6,2611,6,(,Issue ID,IS NULL,NULL,NULL,Or
2611-7,2611,7,NULL,Issue ID,=,0,),And
2611-8,2611,8,(,Claim Category,LIKE,*Damaged Wire*,NULL,Or
2611-9,2611,9,NULL,Claim Category,LIKE,*24-NA-042*,NULL,Or
2611-10,2611,10,NULL,Claim Category,LIKE,*Shorted*,),And
2611-11,2611,11,NULL,Datalink,=,O2SensorGEN5Truck,NULL,NULL
2608-1,2608,1,NULL,Customer,=,GM,NULL,And
2608-2,2608,2,NULL,Datalink,=,TMAPL5P,NULL,And
2608-3,2608,3,NULL,Customer Category,=,MAF Non Denso,NULL,And
2608-4,2608,4,(,Issue ID,IS NULL,NULL,NULL,Or
2608-5,2608,5,NULL,Issue ID,=,0,),NULL
2607-1,2607,1,NULL,Customer,=,GM,NULL,And
2607-2,2607,2,NULL,Datalink,=,FuelInjectorCSS3L,NULL,And
2607-3,2607,3,NULL,Model Year,>=,2023,NULL,And
2607-4,2607,4,NULL,Model Year,<=,2023,NULL,And
2607-5,2607,5,NULL,Vehicle Build Date,>=,3/1/2022,NULL,And
2607-6,2607,6,NULL,Vehicle Build Date,<=,12/31/2024,NULL,And
2607-7,2607,7,NULL,Claim Category,LIKE,*Inj.C*,NULL,And
2607-8,2607,8,(,Issue ID,IS NULL,NULL,NULL,Or
2607-10,2607,10,NULL,Issue ID,=,0,NULL,Or
2607-11,2607,11,NULL,Issue ID,=,1854,NULL,Or
2607-12,2607,12,NULL,Issue ID,=,452,),NULL
2601-1,2601,1,NULL,Customer,=,GM,NULL,And
2601-2,2601,2,NULL,Datalink,=,DeltaPressureSensorDMAX,NULL,And
2601-3,2601,3,(,Model Year,=,2024,NULL,Or
2601-4,2601,4,NULL,Model Year,=,2025,),And
2601-5,2601,5,NULL,Engine,=,L5P,NULL,And
2601-6,2601,6,(,Vehicle Build Date,>=,2/1/2022,NULL,And
2601-7,2601,7,NULL,Vehicle Build Date,<=,6/1/2023,),And
2601-8,2601,8,(,Issue ID,=,0,NULL,Or
2601-9,2601,9,NULL,Issue ID,=,0,NULL,Or
2601-10,2601,10,NULL,Issue ID,IS NULL,NULL,),And
2601-11,2601,11,(,Claim Category 2,LIKE,*P2463*,NULL,Or
2601-12,2601,12,NULL,Claim Category 2,LIKE,*P2455*,NULL,Or
2601-13,2601,13,NULL,Claim Category 2,LIKE,*P24A4*,),NULL
2594-1,2594,1,NULL,Customer,=,Honda,NULL,And
2594-2,2594,2,NULL,Product Description,=,Infotainment Control Unit,NULL,And
2594-3,2594,3,(,Model Year,>=,2018,NULL,And
2594-4,2594,4,NULL,Model Year,<=,2023,),And
2594-5,2594,5,NULL,Complaint Code Desc,LIKE,*18-23M Most*,NULL,NULL
2582-1,2582,1,NULL,customer,=,Honda,NULL,And
2582-2,2582,2,NULL,Product Description,=,Infotainment Control Unit,NULL,And
2582-3,2582,3,NULL,Model,=,RDX,NULL,And
2582-4,2582,4,(,Model Year,=,2019,NULL,Or
2582-5,2582,5,NULL,Model Year,=,2020,),And
2582-6,2582,6,NULL,Issue ID,IS NULL,NULL,NULL,And
2582-7,2582,7,NULL,Customer Category,=,Speaker Noise,NULL,NULL
2580-0,2580,0,NULL,Product Description,=,fuel pump module,NULL,And
2580-1,2580,1,NULL,Issue ID,IS NULL,NULL,NULL,And
2580-2,2580,2,NULL,Customer,=,Honda,NULL,And
2580-4,2580,4,NULL,Customer Category,=,FPM Impeller Swell,NULL,NULL
2574-1,2574,1,NULL,Customer,=,Honda,NULL,And
2574-2,2574,2,NULL,Product Description,=,Infotainment Control Unit,NULL,And
2574-3,2574,3,((,Model Year,>=,2018,NULL,And
2574-4,2574,4,NULL,Vehicle Build Date,<=,06/06/2023,NULL,And
2574-5,2574,5,NULL,Model,=,Odyssey,),Or
2574-6,2574,6,(,Model Year,>=,2019,NULL,And
2574-7,2574,7,NULL,Vehicle Build Date,<=,12/12/2022,NULL,And
2574-8,2574,8,NULL,Model,=,Pilot,),Or
2574-9,2574,9,(,Model Year,>=,2019,NULL,And
2574-10,2574,10,NULL,Vehicle Build Date,<=,06/05/2023,NULL,And
2574-11,2574,11,NULL,Model,=,Passport,)),And
2574-12,2574,12,(,Customer Category,=,Backup Camera,NULL,Or
2574-13,2574,13,NULL,Customer Category,=,Speaker Noise,NULL,Or
2574-14,2574,14,NULL,Customer Category,=,Blank Display,NULL,Or
2574-15,2574,15,NULL,Customer Category,=,Flicker Display,),NULL
2565-1,2565,1,NULL,Customer,=,Stellantis,NULL,And
2565-2,2565,2,NULL,Claimed Part Number,LIKE,68376684AE,NULL,NULL
2564-1,2564,1,((,Model,=,Ram DS,NULL,And
2564-2,2564,2,NULL,Model Year,>=,2022,),And
2564-3,2564,3,(,Customer Comments,LIKE,*tick*,NULL,Or
2564-4,2564,4,NULL,Dealer Comments,LIKE,*tick*,)),NULL
2560-1,2560,1,NULL,Customer,=,Honda,NULL,And
2560-2,2560,2,(,Model Code,=,RDX,NULL,Or
2560-3,2560,3,NULL,Model Code,=,TLX,),And
2560-4,2560,4,NULL,Claimed Part Number,=,80220,NULL,And
2560-5,2560,5,(,Model Year,=,2023,NULL,Or
2560-6,2560,6,NULL,Model Year,=,2024,),And
2560-7,2560,7,NULL,Vehicle Build Date,<=,10/9/2023,NULL,NULL
2556-1,2556,1,NULL,Customer,=,GM,NULL,And
2556-2,2556,2,NULL,Datalink,LIKE,*wiper blade*,NULL,And
2556-3,2556,3,NULL,Claim Category,=,Poor Wipe Quality,NULL,And
2556-4,2556,4,NULL,Issue ID,IS NULL,NULL,NULL,NULL
2550-1,2550,1,NULL,Model,=,Wrangler JL,NULL,And
2550-2,2550,2,NULL,Product Description,=,Compressor,NULL,And
2550-3,2550,3,NULL,Customer Comments,LIKE,*nois*,NULL,NULL
2541-1,2541,1,NULL,Customer,=,Honda,NULL,And
2541-2,2541,2,(,Model,=,Pilot,NULL,Or
2541-3,2541,3,NULL,Model,=,Passport,NULL,Or
2541-4,2541,4,NULL,Model,=,Odyssey,NULL,Or
2541-5,2541,5,NULL,Model,=,Ridgeline,NULL,Or
2541-6,2541,6,NULL,Model,=,Civic,),And
2541-7,2541,7,(,Product Description,=,Evap Canister Vent Shut Valve,NULL,Or
2541-8,2541,8,NULL,Product Description,=,purge valve,),And
2541-9,2541,9,NULL,Vehicle Build Date,>=,01/01/2022,NULL,And
2541-10,2541,10,NULL,Vehicle Build Date,<,12/01/2022,NULL,And
2541-11,2541,11,NULL,Customer Category,=,Evap Leak DTC,NULL,NULL
1997-0,1997,0,(((,Claimed Part Number,LIKE,68396059A*,),And
1997-1,1997,1,(,Model,=,Ram DT,NULL,Or
1997-2,1997,2,NULL,Model,=,Ram HD,NULL,Or
1997-4,1997,4,NULL,Model,=,Wagoneer WS,)),And
1997-5,1997,5,(,Customer Comments,LIKE,*stuck*,NULL,Or
1997-6,1997,6,NULL,Customer Comments,LIKE,*move*,NULL,Or
1997-7,1997,7,NULL,Dealer Comments,LIKE,*B11C2-92*,NULL,Or
1997-8,1997,8,NULL,Dealer Comments,LIKE,*stuck*,NULL,Or
1997-9,1997,9,NULL,Dealer Comments,LIKE,*inop*,NULL,Or
1997-10,1997,10,NULL,Dealer Comments,LIKE,*move*,)),NULL
1995-1,1995,1,(,Customer Comments,LIKE,*G-Maintenance - Company Car*,NULL,Or
1995-2,1995,2,NULL,Dealer Comments,LIKE,*G-Maintenance - Company Car*,NULL,Or
1995-3,1995,3,NULL,Correction Comments,LIKE,*G-Maintenance - Company Car*,),And
1995-4,1995,4,(,Customer Comments,LIKE,*Payment Code*,NULL,Or
1995-5,1995,5,NULL,Dealer Comments,LIKE,*Payment Code*,NULL,Or
1995-6,1995,6,NULL,Correction Comments,LIKE,*Payment Code*,),NULL
1994-1,1994,1,(,Customer Comments,LIKE,*Payment Code*,NULL,Or
1994-2,1994,2,NULL,Dealer Comments,LIKE,*Payment Code*,NULL,Or
1994-3,1994,3,NULL,Correction Comments,LIKE,*Payment Code*,),And
1994-4,1994,4,(,Customer Comments,LIKE,*G-Maintenance*,NULL,Or
1994-5,1994,5,NULL,Dealer Comments,LIKE,*G-Maintenance*,NULL,Or
1994-6,1994,6,NULL,Correction Comments,LIKE,*G-Maintenance*,),NULL
1983-0,1983,0,NULL,Product Description,=,compresscor,NULL,And
1983-1,1983,1,NULL,Customer,=,GM,NULL,And
1983-2,1983,2,NULL,Model Year,>=,2022,NULL,And
1983-4,1983,4,(,Claim Category,=,Motor Underspeed,NULL,Or
1983-5,1983,5,NULL,Claim Category,=,A/C Inop (low Oil),),And
1983-6,1983,6,NULL,Engine Family,=,Electric,NULL,NULL
1976-0,1976,0,(((,Model Platform,LIKE,*MP*,NULL,Or
1976-1,1976,1,NULL,Model Platform,LIKE,*DS*,NULL,Or
1976-2,1976,2,NULL,Model Platform,LIKE,*WS*,NULL,Or
1976-3,1976,3,NULL,Model Platform,LIKE,*DT*,NULL,Or
1976-4,1976,4,NULL,Model Platform,LIKE,*HD*,),And
1976-6,1976,6,(,Vehicle Build Date,>,8/1/2020,),And
1976-7,1976,7,(,Failure Code Desc,LIKE,*leak*,)),And
1976-8,1976,8,(,Customer Comments,LIKE,*Vent*,NULL,Or
1976-9,1976,9,NULL,Customer Comments,LIKE,*Antifreeze*,NULL,Or
1976-10,1976,10,NULL,Dealer Comments,LIKE,*Coolant*,NULL,Or
1976-11,1976,11,NULL,Dealer Comments,LIKE,*antifreeze*,NULL,Or
1976-12,1976,12,NULL,Dealer Comments,LIKE,*vent*,NULL,Or
1976-13,1976,13,NULL,Customer Comments,LIKE,*coolant*,)),NULL
1975-1,1975,1,(,Model,=,Durango WD,NULL,And
1975-2,1975,2,NULL,Product Description,=,Compressor,NULL,And
1975-3,1975,3,NULL,Model Year,>,2021,),And
1975-4,1975,4,(,Customer Comments,LIKE,*nois*,NULL,Or
1975-5,1975,5,NULL,Dealer Comments,LIKE,*nois*,),NULL
1974-1,1974,1,((,Model Platform,LIKE,*DT*,NULL,And
1974-2,1974,2,NULL,Vehicle Build Date,>=,08/01/2020,),And
1974-3,1974,3,(,Customer Comments,LIKE,*nois*,NULL,Or
1974-4,1974,4,NULL,Dealer Comments,LIKE,*nois*,NULL,Or
1974-5,1974,5,NULL,Customer Comments,LIKE,*hum*,NULL,Or
1974-6,1974,6,NULL,Dealer Comments,LIKE,*hum*,NULL,Or
1974-7,1974,7,NULL,Customer Comments,LIKE,*vibrat*,NULL,Or
1974-8,1974,8,NULL,Dealer Comments,LIKE,*vibrat*,NULL,Or
1974-9,1974,9,NULL,Customer Comments,LIKE,*loud*,)),NULL
1969-1,1969,1,NULL,Model Year,>,2021,NULL,And
1969-2,1969,2,NULL,Model,=,Mustang Mach E,NULL,And
1969-3,1969,3,NULL,Dealer Comments,LIKE,*2182*,NULL,NULL
1968-1,1968,1,NULL,Product Description,=,Heater Core,NULL,And
1968-2,1968,2,NULL,Model Year,=,2022,NULL,And
1968-3,1968,3,(,Model,=,Ram HD,NULL,Or
1968-4,1968,4,NULL,Model,=,Cherokee,NULL,Or
1968-5,1968,5,NULL,Model,=,Ram DT,),And
1968-6,1968,6,NULL,Vehicle Build Date,<,4/22/2022,NULL,And
1968-7,1968,7,(,Dealer Comments,LIKE,*leak*,NULL,Or
1968-8,1968,8,NULL,Customer Comments,LIKE,*leak*,),NULL
1967-1,1967,1,NULL,Model,=,Wagoneer WS,NULL,And
1967-2,1967,2,NULL,Vehicle Build Date,<=,11/01/2022,NULL,And
1967-3,1967,3,(,Dealer Comments,LIKE,*lock*,NULL,Or
1967-4,1967,4,NULL,Dealer Comments,LIKE,*seiz*,),NULL
1966-1,1966,1,(,Model Platform,=,LD,NULL,And
1966-2,1966,2,NULL,Model Year,>=,2022,NULL,And
1966-3,1966,3,NULL,Product Description,=,Compressor,),And
1966-4,1966,4,(,Customer Comments,LIKE,*nois*,NULL,Or
1966-5,1966,5,NULL,Dealer Comments,LIKE,*seiz*,NULL,Or
1966-6,1966,6,NULL,Dealer Comments,LIKE,*nois*,),NULL
1965-1,1965,1,(,Customer Category,=,Warning - multiple,NULL,And
1965-2,1965,2,NULL,Claim Category,=,Wiring/Harness Issue,),NULL
1958-1,1958,1,NULL,Customer,=,GM,NULL,And
1958-2,1958,2,NULL,Datalink,=,FuelPumpCSS3L,NULL,And
1958-3,1958,3,NULL,Vehicle Build Date,>=,10/1/2020,NULL,And
1958-4,1958,4,NULL,Vehicle Build Date,<,12/31/2022,NULL,And
1958-5,1958,5,(,Issue ID,=,0,NULL,Or
1958-6,1958,6,NULL,Issue ID,IS NULL,NULL,NULL,Or
1958-7,1958,7,NULL,Issue ID,=,0,),And
1958-8,1958,8,(,Claim Category,LIKE,*Metal*,NULL,Or
1958-9,1958,9,NULL,Claim Category,LIKE,*P228A*,NULL,Or
1958-10,1958,10,NULL,Claim Category,LIKE,*Leak*,),NULL
1953-1,1953,1,NULL,Customer,=,Ford,NULL,And
1953-2,1953,2,NULL,Model Year,>=,2022,NULL,And
1953-3,1953,3,NULL,Model Year,<=,2022,NULL,And
1953-4,1953,4,(,Claim Category 2,LIKE,*51135*,NULL,Or
1953-5,1953,5,NULL,Claim Category 2,LIKE,*50788*,),And
1953-6,1953,6,(,Issue ID,IS NULL,NULL,NULL,Or
1953-7,1953,7,NULL,Issue ID,=,0,),NULL
1945-1,1945,1,NULL,NULL,NULL,NULL,NULL,NULL
1942-1,1942,1,NULL,Customer,=,GM,NULL,And
1942-2,1942,2,NULL,Datalink,LIKE,*CamSensorSGE*,NULL,And
1942-3,1942,3,(,Model Year,=,2022,NULL,Or
1942-4,1942,4,NULL,Model Year,=,2023,),And
1942-5,1942,5,NULL,Vehicle Build Date,>=,1/1/2021,NULL,And
1942-6,1942,6,NULL,Vehicle Build Date,<=,1/1/2023,NULL,And
1942-7,1942,7,(,Claim Category,LIKE,*P0366*,NULL,Or
1942-8,1942,8,NULL,Claim Category,LIKE,P0365,),And
1942-9,1942,9,NULL,Model,LIKE,*Malibu*,NULL,NULL
1941-1,1941,1,NULL,Customer,=,GM,NULL,And
1941-2,1941,2,NULL,Datalink,LIKE,*CSS3L*,NULL,And
1941-3,1941,3,(,Model Year,=,2022,NULL,Or
1941-4,1941,4,NULL,Model Year,=,2022,),And
1941-5,1941,5,(,Claim Category,LIKE,*22-NA-168*,NULL,Or
1941-6,1941,6,NULL,Claim Category,LIKE,*P2C7A*,),NULL
1938-1,1938,1,NULL,Customer,=,Honda,NULL,And
1938-2,1938,2,NULL,Model Code,=,RIDGELINE,NULL,And
1938-3,1938,3,NULL,Model Year,=,2022,NULL,And
1938-4,1938,4,(,Issue ID,IS NULL,NULL,NULL,Or
1938-5,1938,5,NULL,Issue ID,=,0,),And
1938-6,1938,6,((,Vehicle Build Date,>=,9/1/2021,NULL,And
1938-7,1938,7,NULL,Vehicle Build Date,<=,1/18/2022,),Or
1938-8,1938,8,(,Vehicle Repair Date,>=,5/1/2022,NULL,And
1938-10,1938,10,NULL,Vehicle Repair Date,<=,5/30/2022,)),NULL
1937-0,1937,0,NULL,Datalink,LIKE,*Alternator*,NULL,And
1937-1,1937,1,NULL,customer,=,GM,NULL,And
1937-2,1937,2,NULL,Model Year,>,2020,NULL,And
1937-3,1937,3,NULL,Model Year,<=,2023,NULL,And
1937-4,1937,4,(,Claimed Part Number,=,13545139,NULL,Or
1937-5,1937,5,NULL,Claimed Part Number,=,13536551,NULL,Or
1937-6,1937,6,NULL,Claimed Part Number,=,84062199,NULL,Or
1937-7,1937,7,NULL,Claimed Part Number,=,26261634,NULL,Or
1937-8,1937,8,NULL,Claimed Part Number,=,13536552,NULL,Or
1937-9,1937,9,NULL,Claimed Part Number,=,26339092,NULL,Or
1937-10,1937,10,NULL,Claimed Part Number,=,23909746,NULL,Or
1937-11,1937,11,NULL,Claimed Part Number,=,13534128,NULL,Or
1937-12,1937,12,NULL,Claimed Part Number,=,84129223,NULL,Or
1937-13,1937,13,NULL,Claimed Part Number,=,13534127,NULL,Or
1937-14,1937,14,NULL,Claimed Part Number,=,23753279,NULL,Or
1937-15,1937,15,NULL,Claimed Part Number,=,13534116,NULL,Or
1937-16,1937,16,NULL,Claimed Part Number,=,13534129,NULL,Or
1937-17,1937,17,NULL,Claimed Part Number,=,23871224,NULL,Or
1937-18,1937,18,NULL,Claimed Part Number,=,26275741,NULL,Or
1937-19,1937,19,NULL,Claimed Part Number,=,13539730,NULL,Or
1937-20,1937,20,NULL,Claimed Part Number,=,26345322,NULL,Or
1937-21,1937,21,NULL,Claimed Part Number,=,24117240,NULL,Or
1937-22,1937,22,NULL,Claimed Part Number,=,13535009,NULL,Or
1937-23,1937,23,NULL,Claimed Part Number,=,13532106,NULL,Or
1937-24,1937,24,NULL,Claimed Part Number,=,26312017,NULL,Or
1937-25,1937,25,NULL,Claimed Part Number,=,84169187,NULL,Or
1937-26,1937,26,NULL,Claimed Part Number,=,42609193,NULL,Or
1937-27,1937,27,NULL,Claimed Part Number,=,13539728,NULL,Or
1937-28,1937,28,NULL,Claimed Part Number,=,26335014,NULL,Or
1937-29,1937,29,NULL,Claimed Part Number,=,13539727,NULL,Or
1937-30,1937,30,NULL,Claimed Part Number,=,13597226,NULL,Or
1937-31,1937,31,NULL,Claimed Part Number,=,13526558,NULL,Or
1937-32,1937,32,NULL,Claimed Part Number,=,13534125,NULL,Or
1937-33,1937,33,NULL,Claimed Part Number,=,26366719,NULL,Or
1937-34,1937,34,NULL,Claimed Part Number,=,13539731,NULL,Or
1937-35,1937,35,NULL,Claimed Part Number,=,84206550,NULL,Or
1937-36,1937,36,NULL,Claimed Part Number,=,24117253,NULL,Or
1937-37,1937,37,NULL,Claimed Part Number,=,13532887,NULL,Or
1937-38,1937,38,NULL,Claimed Part Number,=,26687069,NULL,Or
1937-39,1937,39,NULL,Claimed Part Number,=,42527306,NULL,Or
1937-40,1937,40,NULL,Claimed Part Number,=,26271510,NULL,Or
1937-41,1937,41,NULL,Claimed Part Number,=,52140285,NULL,Or
1937-42,1937,42,NULL,Claimed Part Number,=,13539729,NULL,Or
1937-43,1937,43,NULL,Claimed Part Number,=,13540929,NULL,Or
1937-44,1937,44,NULL,Claimed Part Number,=,13534118,NULL,Or
1937-45,1937,45,NULL,Claimed Part Number,=,P42677220,NULL,Or
1937-46,1937,46,NULL,Claimed Part Number,=,24117241,NULL,Or
1937-47,1937,47,NULL,Claimed Part Number,=,84946606,NULL,Or
1937-48,1937,48,NULL,Claimed Part Number,=,13540927,NULL,Or
1937-49,1937,49,NULL,Claimed Part Number,=,13534122,NULL,Or
1937-50,1937,50,NULL,Claimed Part Number,=,24116287,NULL,Or
1937-51,1937,51,NULL,Claimed Part Number,=,23891172,NULL,Or
1937-52,1937,52,NULL,Claimed Part Number,=,13535317,NULL,Or
1937-53,1937,53,NULL,Claimed Part Number,=,13540926,NULL,Or
1937-54,1937,54,NULL,Claimed Part Number,=,26333949,NULL,Or
1937-55,1937,55,NULL,Claimed Part Number,=,13527267,NULL,Or
1937-56,1937,56,NULL,Claimed Part Number,=,20881337,NULL,Or
