Issue ID,Owner,Customer,Subject,Status,DN Part ID,Checksheet ID,Major Issue No,Customer Tracking Number,Bulletin Number,DN Design Location,DN Plant ID,Responsibility Category,Progress Updates,Countermeasure,Vehicles Affected,Failure Ratio,DN Share Ratio,Service Contribution Ratio,Activated,SQL Code
2849,dsjmacatul,Ford,21-23MY Lincoln Nautilus - Gen 1.5 SW update issue causing BLEM no communication (NTF reduction),Cause Identified,286,Unknown,NULL,NULL,NULL,DIAM,DMTN-203,TFCD,NULL,NULL,NULL,NULL,NULL,NULL,No,
2848,dsjmacatul,Ford,HVAC - Water Leak,Trend Watch,114,Unknown,NULL,NULL,NULL,DIAM,DMMI,NTF,Water leak unrelated to HVAC case,NULL,NULL,NULL,NULL,NULL,No,NULL
2847,dsdjackson,GM,24MY-25MY GEN6 Corvette Starter Inop,Cause Identified,184,Unknown,NULL,NA01005715,NULL,DNJP,DNJP,TFCD,GM continuing investigation to upgrade from V4 to V7 connector with DIAM Design team,V4 connector change to V7 to withstand high vibration at high engine rpm.,58,0.00,0.06,0.50,No,
2846,dsdjackson,GM,25MY-26MY GM 625T CAM Sensor - Hard Start or No Start,Investigating,161,Unknown,NULL,NA01005829,NULL,DNJP,DNMY,TBD,Attached are the updated reports with material analysis of the liquid found on the n=3 return parts All contain water cleaning silicon and gear lube oil found as well,NULL,20,0.00,0.18,0.50,Yes,"([DN Part ID] = 161) AND  [Model Year] >= 2025 And ( [Claim Category] LIKE '%P0365%' Or  [Claim Category] LIKE '%P0340%' ) "
2845,dsjmacatul,Ford,Ford - Non-DN inverters,Closed,169,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,"([DN Part ID] = 169) AND  [Customer] = 'Ford' And ( [Claimed Part Number] LIKE 'LJ9Z7B012L' Or  [Claimed Part Number] = 'LJ9Z7B012C' Or  [Claimed Part Number] = 'LJ9Z7B012G' )And ( [Issue ID] = '0' Or  [Issue ID] = '' ) "
2844,Yuhi Sasaki,Toyota,TMNA/TCI 25MY Camry HV - SRS Light On - Corrosion in SRS ECU,Trend Watching,199,NULL,NA01005624,NULL,NULL,DNJP,TNMX,NULL,Customer states SRS Light is ON. Health check finds DTC B11639E for Airbag ECU (IC and Device) stuck on.Field reports do not describe any evidence of water/liquid leaking onto the part.," ",NULL,NULL,NULL,NULL,NULL,NULL
2843,Yuhi Sasaki,Toyota,TMNA/TCI 24-25MY Multiple Models - MIL ON DTC P001400 & P001500 - VCT,Cause Identified,180,NULL,NA00010787,NULL,NULL,DNJP,DNMX-A,NULL,"Customer states the check engine light is on.Some vehicles may also experience misfiring.Health check finding DTCs:- P001400 (Camshaft position ""B"" - Timing Over-Advanced or System Performance Bank 1)- P001500 (Camshaft position ""B"" - Timing Over-Retarded Bank 1)",Rotor Process chuck jaw adjusted to improve rotor concentricity and align closer to DN China's clearance values. 45756,NULL,NULL,NULL,NULL,NULL,NULL
2842,Yuhi Sasaki,Toyota,TMNA/TCI 22MY 4Runner - XM Icon Missing on Head Unit after Body ECU replacement,Trend Watching,201,NULL,NA00010865,NULL,NULL,DNJP,DNJP,NULL,"Customer states the XM radio icon disappeared and will not return.This occurs after original body ECU was replaced, and a service part body ECU was installed"," ",NULL,NULL,NULL,NULL,NULL,NULL
2841,Andrew Prete,Honda,[HONDA] AP5NA/AP5T Starter/ENG ECU - No Restart after Idle Stop,Under Investigation,164,NULL,NA01005554,NULL,NULL,NULL,NULL,NULL,"Customers complain that the engine does not restart after idle-stop. Dealers replace starter, customer does not return after starter replacement.  "," ",NULL,NULL,NULL,NULL,NULL,NULL
2840,Drake Jackson,GM,24MY Silverado Sierra DMAX - DTC SQP Timing and Learning,Under Investigation,194,NULL,NA00009847,NULL,NULL,DNJP,DMHU,NULL,"GM Changed the calibration for Timing and learning for 24MY. however, claims continue in 24MY. March 2024, TL Claims are increasing faster than 23MY. "," ",NULL,NULL,NULL,NULL,No,
2839,NULL,GM,24-25MY GM HVAC Cracked Cases,Cause Identified,114,NULL,NA00010762,NULL,NULL,NULL,NULL,NULL,"DENSO SE recognized an increase in warranty claims for HVAC Cases leaking. After further investigation, these leak cases are cause by HVAC cases being cracked. 3 cases have been sent to DMMI and confirmed cracks. N=80 leak claims. DMMI concluded this is a non-DENSO responsibility."," ",NULL,NULL,NULL,NULL,No,
2838,Devon Williams,Toyota,[TMNA/TCI] 25MY Sequoia/Tundra - HVAC - No Defrost - 0 Mileage Quality Alert,Trend Watching,114,NULL,NA01005665,NULL,NULL,DIAM,DNMX-S,NULL,No defrost air flow found at TMMTX in plant vehicle audit," ",NULL,NULL,NULL,NULL,NULL,NULL
2837,Yuhi Sasaki,Toyota,TMNA/TCI Multiple Models - SRS Light On with DTC C006396 - SRS ECU Yaw Rate Sensor Cracked,Under Investigation,199,NULL,NA01005673,NULL,NULL,DNJP,TNMX,NULL,"Airbag Light on with DTC C006396 (Yaw Rate Sensor Component Internal Failure)  Investigation has found crack in the yaw rate sensor combo-sensor.  "," ",NULL,NULL,NULL,NULL,NULL,NULL
2836,Joe McAllister,Stellantis,24MY STLA - Charger (LB) E compressor causing 12 volt battery drain,Under Investigation,107,NULL,NA00010788,NULL,NULL,NULL,NULL,NULL,"Vehicle was ""buyback"" due to 12v battery drain.  STL thinks it is the compressor's fault for draining the 12V battery when its supposed to be in ""sleep mode"". This was discovered last Friday, DIAM Compressor group and Software group initially thought this to be a vehicle issue, but as of Friday(5/23) think this may not be the case. "," ",NULL,NULL,NULL,NULL,NULL,NULL
2835,Brian Meers,Ford,25MY Ford Multiple Models - MIL On with EVAP DTC Due to Broken Weld on IPV Purge Valve,Closed,188,NULL,NA01005622,NULL,NULL,DNJP,HDVN,TFCA,Part investigation confirmed no possibility for this damage to occur in DN process.  Ford agreed and will discuss with T1.,N/A,2,0.00,0.50,0.50,NULL,NULL
2834,Drake Jackson,GM,GM 22MY-25MY CSS3L [HP Pump] - Hard to Cold Start DTC P228X,Cause Identified,193,NULL,NA01005598,NULL,NULL,DNJP,DNJP,NULL,"End user experiences MIL on, hard to start or reduced power with DTC P228X.P228X is the highest DTC for CSS3L. "," ",NULL,NULL,NULL,NULL,NULL,NULL
2833,Yuhi Sasaki,Toyota,TMNA/TCI 25MY Camry HV - Smart Key Fob Operates on Other Vehicles,Trend Watching,216,NULL,NA00010817,NULL,NULL,DNJP,DMTN-203,NULL,"When operating the remote key function (unlock/lock/remote start) for a 25MY Camry HV, N=2 other vehicles (both 24MY Corolla) also operate per signal.  When remote starting the Corollas, the vehicles will turn off when trying to put the shifter to ""D"".  Smart entry does not work on the Corollas.  Camry Spare key does not operate the CorollasN=1 Corolla is TMMMS builtN=1 Corolla is TMC built"," ",NULL,NULL,NULL,NULL,NULL,NULL
2832,Joe McAllister,Stellantis,25MY STLA DT - AC Inop Due to TXV Leaking During Cold Weather,Trend Watching,131,NULL,NA01005559,NULL,NULL,NULL,NULL,NULL,5 claims (4 in Canada & 1 in MI) Cold weather leak concern with TXV seals between EVAP and TXV. DENSO did not have visibility to the GIM as it was assigned to SHAP," ",NULL,NULL,NULL,NULL,NULL,NULL
2831,Joe McAllister,Stellantis,25MY STLA DT - B112C-92 Mode Door Incorrect Operation Leading to HVAC Actuator Replacement,Trend Watching,108,NULL,NA01005564,NULL,NULL,NULL,NULL,NULL,"This GIM was for actuators and majority were TNF.  During triage of the claims, it was decided to assign to STLA engineering.  Currently no DENSO issues"," ",NULL,NULL,NULL,NULL,NULL,NULL
2830,NULL,Toyota,TMNA/TCI_25MY Camry - LLC leak from heater core pipe crimp - Heater core,Trend Watching,123,NULL,NA01005656,NULL,NULL,NULL,NULL,NULL,"MID shows ""Engine coolant temperature high"", and customer notice coolant is leaking around gas pedal."," ",NULL,NULL,NULL,NULL,NULL,NULL
2829,NULL,GM,25MY Chevy Colorado/GMC Canyon HVAC Noise â€“ Suspect Contaminated Grease Post Countermeasure,Under Investigation,114,NULL,NA00010805,NULL,NULL,NULL,NULL,NULL,Customer complaint of noise/clicking coming from HVAC," ",NULL,NULL,NULL,NULL,NULL,NULL
2828,Devon Williams,Toyota,[TMNA/TCI] GEN 5 Multiple Models Inverter MIL On or Will Not Ready On Multiple DTCs,Trend Watching,169,NULL,NA00010822,NULL,NULL,NULL,NULL,NULL,MIL On Multiple DTCs," ",NULL,NULL,NULL,NULL,NULL,NULL
2827,Steven DeBat,Ford,24MY Ford F150 BEV - eCompressor ESHG34 -DTC U3000 w/ AC INOP,C/M Implemented,107,NULL,NA00010763,NULL,NULL,NULL,NULL,NULL,"Increase  in ESHG34 (gas injection) electric compressor claims for DTC  U3000.  In investigation of 3 returns,  trouble was found with fitting failure of cluster block and hermetic terminal.  Root cause is under investigation, currently theory is that jig misalignment  and support load are the causes. ","Outflow Countermeasures: A 100% measurement inspection for cluster block fitting failure was conducted (2025/5/6~) Occurrence countermeasures: 1. The load setting when installing the hermetic terminal was corrected to an appropriate value (2025/4/14~) 2. ",NULL,NULL,NULL,NULL,NULL,NULL
2826,David Sumner,Subaru,Subaru - A/C Refrigerant Line- Refrigerant leak issue with 25MY Outback/Legacy (73425AN00A),Trend Watching,129,NULL,NA01005660,NULL,NULL,NULL,NULL,NULL,The part leaks from the flare less braze on the 8mm long pipe.," ",NULL,NULL,NULL,NULL,NULL,NULL
2825,Joe McAllister,Stellantis,25MY STLA DT - Noise From A/C Housing Air Inlet,Trend Watching,114,NULL,NA01005558,NULL,NULL,NULL,NULL,NULL," mis aligned F/R foam where it's tight on corners and ends don't matchup."," ",NULL,NULL,NULL,NULL,NULL,NULL
2824,Devon Williams,Toyota,"[TMNA/TCI] Multiple Models PVM Back-up Camera Only Showing Lines, Screen Delayed, Image Frozen",Trend Watching,211,NULL,NA01005664,NULL,NULL,NULL,NULL,NULL,Issue 1: BU Camera only showing guidelinesIssue 2: PVM Image temporarily freezes after shifting into reverse and acceleratingIssue 3: BU Camera Image Delayed,"Updated SW - Timing TBD ",NULL,NULL,NULL,NULL,NULL,NULL
2823,Joe McAllister,Stellantis,25MY STLA DT - Heater Core Leaking Due to Braze Void,Trend Watching,123,NULL,NA01005560,NULL,NULL,NULL,NULL,NULL,NULL," ",NULL,NULL,NULL,NULL,NULL,NULL
2822,Andrew Prete,Honda,[HONDA] HRV Washer Pump Chemical Attack,Under Investigation,221,NULL,NA01005565,NULL,NULL,NULL,NULL,NULL,"Chemical attack on washer pump outlet causes leak to form, resulting in washer inop complaints."," ",NULL,NULL,NULL,NULL,NULL,NULL
2821,Drake Jackson,GM,25MY T1XX GEN5+ Spark Plug Misfire P030X,Under Investigation,177,NULL,NA00010864,NULL,NULL,DNJP,DMAT-CP,NULL,Customer complaint of MIL on," ",NULL,NULL,NULL,NULL,NULL,NULL
2820,Drake Jackson,GM,GM 24MY-25MY DMAX [Injector] - Timing in Learning NTF,Under Investigation,194,NULL,NA01005606,NULL,NULL,DNJP,DMHU,NULL,C/S MIL ON / ENGINE RUNS ROUGH," ",NULL,NULL,NULL,NULL,NULL,NULL
2819,Andrew Prete,Honda,[HONDA] CRV Washer Grommet Missing,Closed,219,NULL,NA00010821,NULL,NULL,NULL,NULL,NULL,"Dealers/end users mentioned leak when filling washer tank.   Upon inspection, dealers find washer grommet missing. Grommet is at neck to tank joint so no safety concern since majority of fluid remains.  ","No c/m implementation. Honda did not support investigation due to current department direction to only escalate S&A rank. ",NULL,NULL,NULL,NULL,NULL,NULL
2818,Joe McAllister,Stellantis,25MY STLA HD - AC blows on One Side Only Leading to HVAC Actuator Replacement,Trend Watching,108,NULL,NA01005562,NULL,NULL,NULL,NULL,NULL,"Analysis by the control team on vehicle SG500083 to determine the root cause revealed that the software level is updated and no control system issues are present. As the problem is not software-related, a hardware revision needs to be performed. Corrosion on one pin  could have been caused by water intrusion on the driver side servo. Previous correct action was to Add drain hole to servo cam lever to prevent water entry to servo  NUSWTYCHR22003066, CN 10521-T20. 3/15/22- CM to help but not 100%.  Water coming from hvac condensation."," ",NULL,NULL,NULL,NULL,NULL,NULL
2817,dsjmacatul,Ford,25MY Ford Expedition & Lincoln Navigator - Whistle Noise From HVAC While Driving,Trend Watching,114,NULL,NA00010868,NULL,NULL,NULL,NULL,NULL," DIAM       confirmed Self-Excited Vibration noise in KTP returned F/Rs when recirc       mode, under the KTP test conditions (23C, 500pa).â€‹   The       issue also presented at 45C, while ramping air inlet pressures between       370-500pa. â€‹   Once       excited the self-excited vibration noise persisted until the inlet       pressure dropped below 250Pa.  ","ICA1: - Addition of packing tape on driver and passenger side of F/R door - Tentatively beginning at DMCN on July 22, 2025.  May also begin at KTP as 0-mile rework activity on July 22 or 23. 45860",NULL,NULL,NULL,NULL,NULL,NULL
2816,NULL,Toyota,TMNA/TCI_23-25MY RX450h+ -Lack information of Owners Manual- Mili wave radar,Trend Watching,244,NULL,NA01005555,NULL,NULL,NULL,NULL,NULL,"Owners Manual for the RX-PHEV (for Canada) does not include a requirement for mili wave radar in the Radio Law, which may be in violation of the Radio Law. Toyota has confirmed that this does not violate the Canadian vehicle regulations (CMVSS)."," ",NULL,NULL,NULL,NULL,NULL,NULL
2815,Joe McAllister,Stellantis,25MY STLA DT - AC Inop Due to Leaking Evaporator,Trend Watching,121,NULL,NA01005561,NULL,NULL,NULL,NULL,NULL,"4 VINs in GIM- Slim line seal missing (Shap process) and 2 parts no leaks found, 1 not returned)"," ",NULL,NULL,NULL,NULL,NULL,NULL
2814,Yuhi Sasaki,Toyota,TMNA/TCI 25MY 4Runner - Vehicle shifts hard,Trend Watching,164,NULL,NA01005569,NULL,NULL,DNJP,DNJP,NULL,Customer states vehicle shifts rough and has a jerky feel when shifting up or down from Gears 1-3," ",NULL,NULL,NULL,NULL,NULL,NULL
2813,Joe McAllister,Stellantis,25MY STLA DT - CID Display Blank Screen (after Countermeasure GIM),Trend Watching,276,NULL,NA01005563,NULL,NULL,NULL,NULL,NULL,STLA made a GIM for claims after the last clean point.  This does not indicate a repeat failure as it has not been duplicated with returned parts," ",NULL,NULL,NULL,NULL,NULL,NULL
2806,Yuhi Sasaki,Toyota,TMNA/TCI 20-23MY Tacoma - Vehicle Loss of Power- Corrosion on FP ECU,Trend Watching,267,NULL,NA00010760,,,,,,"Customer states the vehicle lost power and would not restart.Tech found corrosion on the FP ECU and connectors.Previously found water intrusion from harness/connector side, and C/M was implemented in 2016 by harness supplier.",,NULL,NULL,NULL,NULL,NULL,NULL
2805,Pat Macatula,Ford,25 MY Ford Expedition No Airflow on Passenger Side Due to Broken Air Mix Gear,Under Investigation,124,NULL,NA00010761,,,DIAM,DMCN,TFDD,,"Interim Counter Measure: June 16th. DMCN to add felt tape to create ramp for the door to climb the ledge and avoid jamming




Permanent Counter Measure: July 8th Designed a ramp built into the HVAC to prevent jamming when the door meets the ledge.",NULL,NULL,NULL,NULL,NULL,NULL
2804,Yuhi Sasaki,Toyota,TMNA/TCI 25MY Camry HV - MIL ON with Misfire or Injector Open Circuit DTCs - Engine ECU,Trend Watching,164,NULL,NA00010759,,,,,,Customer states MIL On. Technician are finding DTCs P030* related to misfire or P020* related direct injector open circuit.,,NULL,NULL,NULL,NULL,NULL,NULL
2803,Yuhi Sasaki,Toyota,TMNA/TCI 25MY Sienna HV - Combination Meter - RSA Road Signs Covering Display,Trend Watching,206,NULL,NA00010751,,,,,,"Customer states the combination meter is experiencing abnormal operations intermittently.- RSA signs appear on the entire meter display- low fuel warning message comes up even though tank is full- Meter is unresponsive and power/speedometer gauges are ""stuck""/freezes. ",,NULL,NULL,NULL,NULL,NULL,NULL
2802,,Ford,24MY Bronco & Bronco Sport - Meter Microcontroller Failure Resulting in Meter Replacement,Trend Watching,206,NULL,NA00010752,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
2801,Pat Macatula,Ford,23-25MY Ford Escape - Noise From HVAC During Operation,Trend Watching,114,NULL,NA00010747,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
2800,Devon Williams,Toyota,TMNA/TCI 24MY-25MY Tacoma Combinatin Meter Fuel Gauge Stuck at 3/4 Full,Trend Watching,206,NULL,NA00010748,,,,,,Fuel Gauge Stuck at 3/4 tank after refueling to full.,,NULL,NULL,NULL,NULL,NULL,NULL
2799,,Toyota,TMNA/TCI 25MY Camry HV - HVAC Servo Gear Separation - Fallen in front of customer (Post C/M 24/2~),C/M Implemented,124,NULL,NA00010733,,,,,,Customer Concern confirmed by TechnicianHVAC was visually inspected on the assy area &identified that the component was a piece of the servomotorSubcomponent was reinstalled,"1. DMMI fixed the vision system to  ensure detecting uninserted condition on 11/15/242. Modified OMS requirements for  four finger push to specify four fingers, two hands per â€œQuality Newsï¿½?  completed 2/20/2025  3. DNJP  has issued new DPS(Denso Process Standard  9991-001-04-12)  globally on Dec. 2024 to standardize assembly and  check method as global Yokoten  ",NULL,NULL,NULL,NULL,NULL,NULL
2798,,Subaru,Subaru Cockpit CP-CP1.5 CID Mechanical Knob/Button Issue,C/M Implemented,276,NULL,NA00010742,,,DNJP,DNMX,,ãƒ»Driver's side temperature button stuck.ãƒ»Defrost Button sticks,,NULL,NULL,NULL,NULL,NULL,NULL
2797,Yuhi Sasaki,Toyota,TMNA/TCI 23-25MY Multiple Models - Combination Meter with Black Screen or Abnormal Operation,Trend Watching,206,NULL,NA00010689,,,DIAM,DMTN/DNMX,,Customer stathes the combination meter screen will turn off (goes black screen) while driving,,NULL,NULL,NULL,NULL,NULL,NULL
2796,,Toyota,TMNA/TCI_23MY bZ4X - Vehicle can not ready on due to Invertar circuit erosion,Trend Watching,169,NULL,NA00010682,,,,,,Vehicle would at least return to accessory mode but would not ready on completely.DTC P300449 was stored.,,NULL,NULL,NULL,NULL,NULL,NULL
2795,Chafeek Nehme,GM,GM 2025MY ELCM Trax 9B and Envista - Warranty Spike,Trend Watching,187,NULL,NA00010686,,,,,,"Recently DIAM has been informed of ELCM business that DICH supplies to GM Korea via DNKR. GM PN 26403267 DENSO PN GN082100-4190.Increase in 25MY claims for this business show in North America market. Build and repair increases. CEL is the customer concern. Part returns are currently being analyzed. ",,NULL,NULL,NULL,NULL,NULL,NULL
2794,Steven DeBat,Ford,24MY Ford F150 Lightning - Heat Pump ECU (HPVCM) -  No Heat w/ A/C button Flashing and DTC B1717:06,Cause Identified,239,NULL,NA00010681,,,DNJP,DNJP,,"End User complaint of no heat w/ A/C button flashing.  3 returns were found to be NTF and had DTC B1717:06. Ford dealer diagnosis history shows DTC B1717:06 present on 6 claims total (Nov ï¿½?24-Feb ï¿½?25 repairs). There is a known Ford Assembly process 0-mile issue on MachE related to DTC B1717:06. DIAM and DNJP Investigating reason B1717:06 is occurring in field, to determine root cause to eliminate future NTF claims. ",,NULL,NULL,NULL,NULL,NULL,NULL
2793,Joe McAllister,Stellantis,Stellantis 23MY Wagoneer (WS) Radiator leak from tank,Under Investigation,144,NULL,NA00010670,,,DIAM,DMMI,,Coolant leaks from inlet tank of radiator crimp area.  After teardown a crack was found along the crimp area.,,NULL,NULL,NULL,NULL,NULL,NULL
2791,Ryan Mowery,Honda,2023-25MY HRV Evap Canister Vent Shut Valve DTC P2422,Under Investigation,190,NULL,NA00010671,,,,,,"Customer report ""Check Engine Light"" is on.  Repair technicians are finding DTC P2422 for Evap Canister Vent Shut Valve stuck closed.  Note: DTC is set by excessive negative pressure during purge cycle which could also be set by obstruction (water, dirt, bug, etc) on atmosphere side of Vent Shut Valve.",,NULL,NULL,NULL,NULL,NULL,NULL
2790,Yuhi Sasaki,Toyota,TMNA/TCI 25MY TX350 - MIL ON w/ DTC P05CE00 (Post C/M),Trend Watching,164,NULL,NA00010669,,NULL,DNJP,DMTN,,"Customer states Check engine light on.- Tech found DTC P05CE00 after performing HealthCheck.- After clearing DTC, DTC did not return.",,NULL,NULL,NULL,NULL,NULL,NULL
2789,,Toyota,TMNA/TCI - 24MY TX350 - Oil Pressure Sensor Leak,Under Investigation,175,NULL,NA00010457,,,,,,"Oil Leak initially notice during service of vehicles or inspection ",,NULL,NULL,NULL,NULL,NULL,NULL
2788,Brian Meers,Ford,25MY Ford Explorer - MIL On with DTC P04F0 Leading to Purge Valve Replacement,Trend Watching,188,NULL,NA00010660,,,DNJP,HDVN,,Claims have slowed since beginning of MY.  Ford has some concern for this DTC as it typically indicates a veh. Assy. issue.  Currently no C/M on Ford sode.,,NULL,NULL,0.50,0.50,Yes,"([DN Part ID] = 188) AND  [DN Part ID] = 188 And  [Customer] = 'Ford' And  [Model Year] >= 2025 And  [Model] = 'Explorer' And  [Claim Category 2] LIKE '%P04F0%'  "
2787,,Toyota,TMNA/TCI_23_24MY TX-NX Inop ECU Integration Relay,Closed,201,NULL,NA00009981,,,,,,"One case with relay defective, MI registered as preventive measure in case of additional cases- continue monitor",,NULL,NULL,NULL,NULL,NULL,NULL
2786,,Toyota,TMNA/TCI Condenser Leak -NTF improvement,Closed,137,NULL,NA00010116,,,,,,[background]  Since 2019 -2024 (as attachment shows) DN have condenser leakages across regions as Top 10-NTF  issues; this was consider a chronic issue and keep it as internal ( No shared in Toyota presentation) per upper mgmt. decision (by 2024).  DN Reps monitoring this issue in field sending part to DNMX BU correlate the condition with internal scrap; allowing thru analysis found R/C link to fin adhesion,"No only Condenser but additional parts were added as YOKOTEN:GSR - TOYOTA - COROLLA HV 227D - AA422137-0851GSR - TOYOTA - COROLLA CONV 117D - AA422137-1540Radiator & condenser780B -> AA447740-209 Cust PN -> 88460-0C150-B920B -> AA447740-294 Cust PN -> 88460-AK010227D/177D -> AA447740-288 Cust PN -> 88460-02540 ",NULL,NULL,NULL,NULL,NULL,NULL
2785,Andrew Prete,Honda,HONDA RDX/MDX/TLX Rear Differential Solenoid Corrosion,Cause Identified,NULL,NULL,NA00010470,,,DNJP,DMVN,,DTC triggers when actual rear diff fluid pressure deviates from target pressure by large amount. DTC turns on AWD warning light.,,NULL,NULL,NULL,NULL,NULL,NULL
2784,,TDB,"<ARGENTINA-ETIOS> SLLC leakage through heater core, after-2nd-C/M ocurrence",Under Investigation,123,NULL,NA00005687,,,,,,"Customer claim: Shortly after vehicle delivery, Customer took his vehicle to Dealer Service Shop claiming about windshield fogged up and an strange smell inside passengers cabin while driving in city condition.    After replacing heater radiator assembly and filling engine cooling system with SLLC, vehicle returned to normal condition.",,NULL,NULL,NULL,NULL,NULL,NULL
2783,Andrew Prete,Honda,23MY CRV Hybrid Purge Valve CEL,Closed,188,NULL,NA00009887,,,,,,Customer goes to dealer with emissions systems error. 50% of DTCs are for P145E related to EVAP system purge flow malfunction for the second solenoid.,"Honda accepted DENSO NTF analysis. Refer to attached email. Honda Japan design will issue software change in March 2024. ",NULL,NULL,NULL,NULL,NULL,NULL
2782,,Honda,HONDA - 12MY & 10MY Pilot - ACG - Melted Plastic Housing,Closed,183,NULL,NA00001620,,,,,,Alternators very hot  Technicians found plastic Housing Melted    An Oil change had just been accomplished onthe 12MY Pilot one hour prior.    *Note: Similar failures have occured in the past due to Technicians leaving,No C/M. Investigation showed no internal failures to ACGs that could cause thermal events.,NULL,NULL,NULL,NULL,NULL,NULL
2781,,TASA,"<ARGENTINA-IMV> ECU abnormal functioning, E/G sudden stop",Closed,164,NULL,NA00005685,,,,,,"Two issues reported:    Issue 1 (R6):  Customer complaint: customer was driving and suddenly E/G stopped. He had to tow the vehicle to dealer.    Dealer diagnosis: dealer technician could confirm the symptoms:  - E/G could not be started.  - E/G warning lights ON  - BOS incorrect functioning  - DTC C1201 Engine Control System Malfunction  - DTC U0100 Lost communication with ECM/PCM ""A""    Failure was reproduced on a similar vehicle. After replacing the ECU, failure was eliminated. Failed ECU was tested at TASA, they weren't unable to communicate with the ECU and start the engine.    Issue 2 (P0): Customer complained also of engine sudden stop while driving. Dealer confirmed symptoms:  - E/G suddenly stops after running for some minutes.  - MIL ON  - DTC P060A (Internal control module monitoring processor performance).    After replacing ECU, problem disappears.    After reproducing the p...",,NULL,NULL,NULL,NULL,NULL,NULL
2780,,Toyota,[CRO]TMNA/TCI_25MY Multiple HV model - DTC:P300449/P1C8449  SMR (Post C/M),Trend Watching,250,NULL,NA00010553,,,DNJP,DELJ,,"Customer complain difficult to Ready on at cold temperature.  After a few Ready-ON tries it started.   Technician confirmed  according DTC was stored.  DTC: P300449 (High Voltage Power Resource Circuit Short during Pre-Charge)  DTC: P1C8449 (High Voltage Power Resource Circuit Short during Ready ON)Previous C/M Date: 2023/12/22 ",,NULL,NULL,NULL,NULL,NULL,NULL
